Time resolution is 1 ps
---- EKF SOC Simulation Started ----
Time=945000 | SOC=81.31 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=955000 | SOC=81.33 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=965000 | SOC=81.34 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=975000 | SOC=81.36 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=985000 | SOC=81.38 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=995000 | SOC=81.39 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1005000 | SOC=81.41 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1015000 | SOC=81.42 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1025000 | SOC=81.44 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1035000 | SOC=81.45 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1045000 | SOC=81.47 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1055000 | SOC=81.48 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1065000 | SOC=81.50 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1075000 | SOC=81.52 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1085000 | SOC=81.53 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1095000 | SOC=81.55 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1105000 | SOC=81.56 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1115000 | SOC=81.58 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1125000 | SOC=81.59 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1135000 | SOC=81.61 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1145000 | SOC=81.62 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1155000 | SOC=81.64 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1165000 | SOC=81.66 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1175000 | SOC=81.67 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1185000 | SOC=81.69 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1195000 | SOC=81.70 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1205000 | SOC=81.72 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1215000 | SOC=81.73 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1225000 | SOC=81.75 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1235000 | SOC=81.77 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=1245000 | SOC=81.78 | V_est=3.488 | V_meas=3.645 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
